Name	1	2	3	4	5	6	7	8	9	10	11	12
Nuclear	4382.031	0.000	5208.000	5040.000	5208.000	5040.000	5208.000	5208.000	5040.000	1478.649	5040.000	5208.000
NG	17112.000	15456.000	15124.671	13735.120	16824.781	0.000	0.000	17112.000	16105.960	17112.000	0.000	1956.761
Hydro Dams	2085.441	1931.255	1604.540	1738.489	1770.487	1628.866	1638.467	1460.225	1335.102	1077.256	1142.630	1047.244
Hydro River	675.029	625.121	519.367	562.725	573.082	527.242	530.349	472.655	432.154	348.693	369.853	338.979
Wind	11152.355	8658.216	9679.403	6041.142	6032.092	4660.956	5120.264	4652.660	5384.988	9585.882	10407.960	11643.340
Solar	2558.244	4123.661	5824.925	7160.544	7556.659	7350.984	7950.236	7556.659	5979.816	4250.621	2437.632	1731.734
Geothermal	1267.776	0.000	1267.776	1226.880	1267.776	1226.880	1267.776	1267.776	1226.880	1218.701	1226.880	1267.776
Electricity	0.000	4641.894	0.000	0.000	0.000	15069.972	15668.213	1502.902	0.000	4161.075	14879.945	16039.042
CHP	0.000	0.000	0.000	2462.400	0.000	2462.400	1849.573	0.000	2462.400	0.000	2462.400	0.000
