period	demand_gwh	cost_meur	price_eur_per_mwh
1	27402.552700	2928.535851	106.870914
2	26786.085937	2414.090061	90.124778
3	32885.479452	2457.600448	74.732085
4	31824.657534	2382.314867	74.857518
5	30003.520800	2839.387765	94.635152
6	31824.657534	2592.974926	81.476915
7	32885.479452	2534.257904	77.063128
8	29008.346700	2768.072552	95.423313
9	31824.657534	2520.353430	79.194990
10	30642.085991	2875.338624	93.836256
11	31824.657534	2644.965992	83.110588
12	23916.172920	3147.726939	131.614993
