Name	1	2	3	4	5	6	7	8	9	10	11	12
NG	3155.535	0.000	6696.000	6480.000	4458.465	6480.000	6696.000	6696.000	6480.000	6696.000	6480.000	6696.000
Coal CCS	0.000	974.046	0.000	0.000	897.813	3600.000	0.000	0.000	0.000	0.000	3600.000	1282.762
Coal	12276.000	11088.000	9266.870	8235.615	11720.419	6480.000	11202.646	12276.000	10770.478	11593.430	7329.181	12276.000
Hydro Dams	6441.723	5965.456	4956.266	5370.022	5468.859	5031.407	5061.061	4510.490	4123.997	3327.537	3529.470	3234.835
Hydro River	3029.523	2805.536	2330.917	2525.505	2571.988	2366.256	2380.202	2121.270	1939.504	1564.931	1659.899	1521.333
Wind	4504.593	3497.175	3909.647	2440.102	2436.447	1882.626	2068.147	1879.275	2175.072	3871.873	4203.922	4702.909
Solar	948.581	1529.029	2159.847	2655.087	2801.964	2725.701	2947.899	2801.964	2217.280	1576.105	903.859	642.117
Geothermal	863.040	779.520	863.040	835.200	863.040	22.272	863.040	863.040	835.200	863.040	835.200	863.040
CHP	0.000	1559.040	1036.408	1670.400	0.000	1623.670	0.000	70.957	1670.400	1726.080	1670.400	0.000
