period	demand_gwh	cost_meur	price_eur_per_mwh
1	29033.665753	2297.675023	79.138303
2	26223.956164	1934.011567	73.749802
3	29033.665753	2325.366344	80.092068
4	28097.095890	2110.723257	75.122471
5	29033.665753	2263.675345	77.967259
6	28097.095890	2160.451267	76.892333
7	29033.665753	2214.992567	76.290489
8	29033.665753	2248.466800	77.443435
9	28097.095890	2289.284701	81.477627
10	29033.665753	2386.543269	82.199171
11	28097.095890	2290.635343	81.525698
12	29033.665753	2402.691924	82.755376
