period	demand_gwh	cost_meur	price_eur_per_mwh
1	29033.665753	2171.543377	74.793979
2	26223.956164	1934.008434	73.749682
3	29033.665753	2178.530313	75.034628
4	28097.095890	2139.943642	76.162449
5	29033.665753	2202.751026	75.868857
6	28097.095890	2144.991693	76.342114
7	29033.665753	2224.524666	76.618801
8	29033.665753	2248.137992	77.432110
9	28097.095890	2189.841016	77.938340
10	29033.665753	2270.576795	78.204964
11	28097.095890	2190.284295	77.954117
12	29033.665753	2306.604069	79.445844
