Name	1	2	3	4	5	6	7	8	9	10	11	12
NG	5978.681	6048.000	6696.000	5817.506	6696.000	5718.490	3138.681	4158.547	6480.000	3106.096	6480.000	6696.000
Coal CCS	3720.000	0.000	0.000	0.000	2080.572	3600.000	3720.000	3720.000	0.000	3720.000	0.000	3720.000
Coal	5580.000	9029.996	10590.550	11880.000	8662.343	9281.044	12276.000	12276.000	11880.000	12276.000	11880.000	8902.708
Hydro Dams	5904.913	5468.335	4543.244	4922.520	5013.121	4612.123	4639.306	4134.616	3780.331	3050.242	3235.347	2965.265
Hydro River	1993.107	1845.748	1533.498	1661.517	1692.097	1556.747	1565.922	1395.572	1275.989	1029.560	1092.039	1000.877
Wind	4504.593	3497.175	3909.647	2440.102	2436.447	1882.626	2068.147	1879.275	2175.072	3871.873	4203.922	4702.909
Solar	948.581	1529.029	2159.847	2655.087	2801.964	2725.701	2947.899	2801.964	2217.280	1576.105	903.859	642.117
Geothermal	863.040	779.520	60.130	835.200	863.040	835.200	863.040	853.022	835.200	863.040	835.200	863.040
CHP	1726.080	0.000	1726.080	0.000	973.412	0.000	0.000	0.000	1568.058	1726.080	1581.564	1726.080
