period	demand_gwh	cost_meur	price_eur_per_mwh
1	38660.821918	2766.233821	71.551345
2	34919.452055	2508.896325	71.848101
3	38660.821918	2780.919424	71.931203
4	37413.698630	2662.563886	71.165482
5	38660.821918	2783.469571	71.997165
6	37413.698630	2687.426557	71.830016
7	38660.821918	2778.673048	71.873098
8	38660.821918	2787.751103	72.107911
9	37413.698630	2716.341752	72.602866
10	38660.821918	2805.198352	72.559201
11	37413.698630	2741.262167	73.268943
12	38660.821918	2800.364005	72.434156
