period	demand_gwh	cost_meur	price_eur_per_mwh
1	29033.665753	2190.547799	75.448544
2	26223.956164	1954.276110	74.522551
3	29033.665753	2189.875545	75.425389
4	28097.095890	2141.154060	76.205529
5	29033.665753	2222.521327	76.549801
6	28097.095890	2193.103904	78.054469
7	29033.665753	2250.093212	77.499453
8	29033.665753	2255.772403	77.695060
9	28097.095890	2199.820025	78.293502
10	29033.665753	2278.575362	78.480457
11	28097.095890	2195.091852	78.125222
12	29033.665753	2285.280628	78.711405
