Name	1	2	3	4	5	6	7	8	9	10	11	12
Nuclear	5208.000	3695.117	5208.000	0.000	5208.000	5040.000	5208.000	5208.000	3609.258	5208.000	3260.304	5208.000
NG	4585.431	9744.000	10788.000	10440.000	5785.097	10440.000	6595.522	8438.989	10440.000	10788.000	10440.000	9481.962
Coal CCS	0.000	0.000	0.000	49.373	0.000	2338.864	231.269	0.000	0.000	3983.472	0.000	0.000
Coal	13392.000	7959.474	7409.703	12960.000	13392.000	7267.806	13392.000	13392.000	12960.000	7390.617	12960.000	13392.000
Hydro Dams	6978.533	6462.577	5369.288	5817.523	5924.597	5450.691	5482.817	4886.364	4467.664	3604.832	3823.592	3504.404
Hydro River	2125.981	1968.797	1635.731	1772.284	1804.904	1660.530	1670.317	1488.611	1361.055	1098.197	1164.842	1067.602
Wind	10505.040	8155.668	9117.582	5690.496	5681.971	4390.420	4823.069	4382.606	5072.427	9029.489	9803.851	10967.526
Solar	2558.244	4123.661	5824.925	7160.544	7556.659	7350.984	7950.236	7556.659	5979.816	4250.621	2437.632	1731.734
Geothermal	1267.776	0.000	1267.776	1226.880	1267.776	1177.805	1267.776	1267.776	1226.880	1267.776	1226.880	1267.776
