period	demand_gwh	cost_meur	price_eur_per_mwh
1	32885.479452	2629.816601	79.968930
2	29703.013699	2362.325997	79.531526
3	26673.553181	3048.847039	114.302246
4	31824.657534	2632.064757	82.705203
5	32885.479452	2663.676804	80.998570
6	31824.657534	2760.280482	86.734020
7	32885.479452	2841.615842	86.409439
8	32885.479452	2645.855722	80.456656
9	31824.657534	2795.406876	87.837768
10	13318.340520	3892.475688	292.264316
11	31824.657534	2756.191446	86.605534
12	32292.898745	2861.513532	88.611232
